city,place,question,option0,option1,option2,option3,option4,correctOption
Ivorá,monte_grappa,Qual é a altura do Monte Grappa?,1) 465 metros,2) 470 metros,3) 475 metros,4) 480 metros,5) 485 metros,1) 465 metros
Ivorá,monte_grappa,Em que cidade da Quarta Colônia se encontra o Monte Grappa?,1) Faxinal do Soturno,2) Nova Palma,3) Dona Francisca,4) Ivorá,5) Silveira Martins,4) Ivorá
Silveira Martins,monumento_imigrante,Em que cidade da Quarta Colônia se encontra o Monumento do Imigrante Italiano?,1) Faxinal do Soturno,2) Nova Palma,3) Dona Francisca,4) Restinga Seca,5) Silveira Martins,5) Silveira Martins
Ivorá,cascata_cara_indio,Em que cidade da Quarta Colônia se encontra a Cascata Cara de Índio?,1) Nova Palma,2) Ivorá,3) Dona Francisca,4) São João do Polêsine,5) Silveira Martins,2) Ivorá
Ivorá,ivora,Quantas cascatas tem a cidade de Ivorá?,1) 10,2) 12,3) 15,4) 17,5) 20,4) 17
Ivorá,ivora,Em qual cidade da Quarta Colônia nasceu Alberto Pasqualini?,1) Nova Palma,2) Dona Francisca,3) Ivorá,4) São João do Polêsine,5) Silveira Martins,3) Ivorá
Ivorá,caminho_harmonia,Este lugar localizado a 10km de Ivorá possui trilhas que acessam a antiga "roça" e possui o lema "ver; escutar e sentir". Trata-se do(a):,1) Monte Grapa,2) Monumento do Imigrante Italiano,3) Cerro da Figueira,4) Balneário Municipal Atílio Aléssio,5) Caminho da Harmonia,5) Caminho da Harmonia
Faxinal do Soturno,ermida_de_sao_pio_de_pietrelcina,No topo do local a __________ simboliza a fé sem medidas do casal Claudio Casassola e Lourdes Pauletto. Dois devotos que idealizaram o espaço como agradecimento às graças recebidas. Os visitantes também podem escrever pedidos em um papel.,1) igreja matriz São Roque,2) Ermida de São Pio de Pietrelcina,3) Monumento do Imigrante Italiano -,4) Igreja da matriz,5) Santuário Mãe Rainha,2) Ermida de São Pio de Pietrelcina
Faxinal do Soturno,museu_geringonca,Este lugar remonta a história da imigração italiana com uma coleção de utensílios usados pelos primeiros que vieram viver na região. O lugar conta com objetos de uma casa da época; além de ferramentas da lavoura e itens da igreja como vestes sacerdotais. Trata-se do(a):,1) Museu Geringonça,2) Vale Vêneto,3) Recanto Maestro,4) Monumento do Imigrante Italiano,5) Museu Fotográfico,1) Museu Geringonça
São João do Polêsine,cappa,Onde se encontra o Centro de Apoio à Pesquisa Paleontológica (Cappa)?,1) São João do Polêsine,2) Faxinal do Soturno,3) Agudo,4) Nova Palma,5) Santa Maria,1) São João do Polêsine
Faxinal do Soturno,mirante_cerro_comprido,Quem fizer uma pausa no caminho da Ermida de São Pio de Pietrelcina é presenteado com a vista do __________. Localizado em uma altura de 528 metros ele permite uma visualização completa da cidade de __________ e de boa parte da região.,1) Monte Grappa - Nova Palma,2) Mirante do Cerro Comprido - Faxinal do Soturno,3) Cerro da Figueira - Agudo,4) Parque Histórico Municipal Obaldino Tessele - Dona Francisca,5) Pienezza Café - Ivorá,2) Mirante do Cerro Comprido - Faxinal do Soturno
São João do Polêsine,cappa,É um dinossauro original da Quarta Colônia e está exposto no CAPPA:,1) Braquiossauro,2) Tiranossauro,3) Estegossauro,4) Bagualossauro,5) Mosassauro,4) Bagualossauro
São João do Polêsine,cappa,É um dinossauro original da Quarta Colônia e está exposto no CAPPA:,1) Triceratope,2) Velociraptor,3) Buriolestes,4) Compsognato,5) Brontossauro,3) Buriolestes
Silveira Martins,silveira_martins,Onde é considerado o berço da imigração italiana na região da Quarta Colônia?,1) Silveira Martins,2) Nova Palma,3) Vale Vêneto,4) Ivorá,5) Agudo,1) Silveira Martins
São João do Polêsine,vale_veneto,Qual o local da Quarta Colônia que foi nomeado em homenagem à região dos imigrantes vindos do norte da Itália?,1) Ivorá,2) Itaara,3) Agudo,4) Silveira Martins,5) Vale Vêneto,5) Vale Vêneto
São João do Polêsine,vale_veneto,Quem é considerado o fundador de Vale Vêneto?,1) Antonio Meneghetti,2) Paulo Bortoluzzi,3) Alberto Pasqualini,4) Gaspar da Silveira Martins,5) Luiz Sponchiado,2) Paulo Bortoluzzi
Silveira Martins,monumento_imigrante,Onde fica o Monumento do Imigrante Italiano?,1) Silveira Martins,2) Nova Palma,3) Vale Vêneto,4) Agudo,5) Restinga Sêca,1) Silveira Martins
Silveira Martins,silveira_martins,O __________ é um sítio que contempla o patrimônio cultural e abriga monumentos em homenagem a Giuseppe Garibaldi e Gaspar Silveira Martins; além do Obelisco em alusão aos 50 anos da imigração e o prédio do Antigo Colégio Bom Conselho; onde funciona o Espaço Multidisciplinar de Pesquisa e Extensão da Universidade Federal de Santa Maria (UFSM).,1) CAPPA,2) Museu Geringonça,3) Centro Histórico de Silveira Martins,4) Museu Fotográfico,5) Jardim Botânico,3) Centro Histórico de Silveira Martins
Ivorá,monte_grappa,Qual é a altura do Monte Grappa?,1) 465 metros,2) 470 metros,3) 475 metros,4) 480 metros,5) 485 metros,1) 465 metros
Ivorá,monte_grappa,Em que cidade da Quarta Colônia se encontra o Monte Grappa?,1) Faxinal do Soturno,2) Nova Palma,3) Dona Francisca,4) Ivorá,5) Silveira Martins,4) Ivorá
Silveira Martins,monumento_imigrante,Em que cidade da Quarta Colônia se encontra o Monumento do Imigrante Italiano?,1) Faxinal do Soturno,2) Nova Palma,3) Dona Francisca,4) Restinga Seca,5) Silveira Martins,5) Silveira Martins
Ivorá,cascata_cara_indio,Em que cidade da Quarta Colônia se encontra a Cascata Cara de Índio?,1) Nova Palma,2) Ivorá,3) Dona Francisca,4) São João do Polêsine,5) Silveira Martins,2) Ivorá
Ivorá,ivora,Quantas cascatas tem a cidade de Ivorá?,1) 10,2) 12,3) 15,4) 17,5) 20,4) 17
Ivorá,ivora,Em qual cidade da Quarta Colônia nasceu Alberto Pasqualini?,1) Nova Palma,2) Dona Francisca,3) Ivorá,4) São João do Polêsine,5) Silveira Martins,3) Ivorá
Ivorá,caminho_harmonia,Este lugar localizado a 10km de Ivorá possui trilhas que acessam a antiga "roça" e possui o lema "ver; escutar e sentir". Trata-se do(a):,1) Monte Grapa,2) Monumento do Imigrante Italiano,3) Cerro da Figueira,4) Balneário Municipal Atílio Aléssio,5) Caminho da Harmonia,5) Caminho da Harmonia
Faxinal do Soturno,ermida_de_sao_pio_de_pietrelcina,No topo do local a __________ simboliza a fé sem medidas do casal Claudio Casassola e Lourdes Pauletto. Dois devotos que idealizaram o espaço como agradecimento às graças recebidas. Os visitantes também podem escrever pedidos em um papel.,1) igreja matriz São Roque,2) Ermida de São Pio de Pietrelcina,3) Monumento do Imigrante Italiano -,4) Igreja da matriz,5) Santuário Mãe Rainha,2) Ermida de São Pio de Pietrelcina
Faxinal do Soturno,museu_geringonca,Este lugar remonta a história da imigração italiana com uma coleção de utensílios usados pelos primeiros que vieram viver na região. O lugar conta com objetos de uma casa da época; além de ferramentas da lavoura e itens da igreja como vestes sacerdotais. Trata-se do(a):,1) Museu Geringonça,2) Vale Vêneto,3) Recanto Maestro,4) Monumento do Imigrante Italiano,5) Museu Fotográfico,1) Museu Geringonça
São João do Polêsine,cappa,Onde se encontra o Centro de Apoio à Pesquisa Paleontológica (Cappa)?,1) São João do Polêsine,2) Faxinal do Soturno,3) Agudo,4) Nova Palma,5) Santa Maria,1) São João do Polêsine
Faxinal do Soturno,mirante_cerro_comprido,Quem fizer uma pausa no caminho da Ermida de São Pio de Pietrelcina é presenteado com a vista do __________. Localizado em uma altura de 528 metros ele permite uma visualização completa da cidade de __________ e de boa parte da região.,1) Monte Grappa - Nova Palma,2) Mirante do Cerro Comprido - Faxinal do Soturno,3) Cerro da Figueira - Agudo,4) Parque Histórico Municipal Obaldino Tessele - Dona Francisca,5) Pienezza Café - Ivorá,2) Mirante do Cerro Comprido - Faxinal do Soturno
São João do Polêsine,cappa,É um dinossauro original da Quarta Colônia e está exposto no CAPPA:,1) Braquiossauro,2) Tiranossauro,3) Estegossauro,4) Bagualossauro,5) Mosassauro,4) Bagualossauro
São João do Polêsine,cappa,É um dinossauro original da Quarta Colônia e está exposto no CAPPA:,1) Triceratope,2) Velociraptor,3) Buriolestes,4) Compsognato,5) Brontossauro,3) Buriolestes
Silveira Martins,silveira_martins,Onde é considerado o berço da imigração italiana na região da Quarta Colônia?,1) Silveira Martins,2) Nova Palma,3) Vale Vêneto,4) Ivorá,5) Agudo,1) Silveira Martins
São João do Polêsine,vale_veneto,Qual o local da Quarta Colônia que foi nomeado em homenagem à região dos imigrantes vindos do norte da Itália?,1) Ivorá,2) Itaara,3) Agudo,4) Silveira Martins,5) Vale Vêneto,5) Vale Vêneto
São João do Polêsine,vale_veneto,Quem é considerado o fundador de Vale Vêneto?,1) Antonio Meneghetti,2) Paulo Bortoluzzi,3) Alberto Pasqualini,4) Gaspar da Silveira Martins,5) Luiz Sponchiado,2) Paulo Bortoluzzi
Silveira Martins,monumento_imigrante,Onde fica o Monumento do Imigrante Italiano?,1) Silveira Martins,2) Nova Palma,3) Vale Vêneto,4) Agudo,5) Restinga Sêca,1) Silveira Martins
